K,A0_fd_MHz_mm,A0_vg_m_s,A1_fd_MHz_mm,A1_vg_m_s,A2_fd_MHz_mm,A2_vg_m_s,S0_fd_MHz_mm,S0_vg_m_s,S1_fd_MHz_mm,S1_vg_m_s,S2_fd_MHz_mm,S2_vg_m_s
0.3473359073359073,0.11134009855865287,1867.8960247437908,1.6917047312488354,2140.8430351535208,4.697936208056581,60.96418596545118,0.5980141821679195,5347.596068516232,2.959247011222289,-1312.2242658290197,3.3967450301401794,2516.276212036202
0.3780694980694981,0.13020436703507865,1984.3431845593614,1.7133488687504617,2279.4765227088938,4.69857209652577,69.39170967013342,0.65024555442113,5329.645408028457,2.946748064223674,-1241.9594734322163,3.4215621485130203,2556.79166664253
0.4088030888030888,0.15016498646355095,2092.1796326693175,1.736304083399543,2409.006457323514,4.699293899291864,78.55180462053977,0.7022919538505978,5309.723231334421,2.934947314620594,-1169.455035925872,3.4467702226703794,2596.2387540750206
0.4395366795366795,0.1711391409932106,2191.73179544693,1.7604825532842334,2529.721762745874,4.700109010620495,88.48965172987664,0.7541335365336442,5287.709195626609,2.9238669612809276,-1094.638481202186,3.4723591474321864,2634.6796210834
0.4702702702702703,0.1930475593662436,2283.38681954154,1.785799636705762,2641.972602446098,4.701025253442643,99.24769647067296,0.8057492178920942,5263.469632508073,2.913530043324097,-1017.4131292992388,3.4983193406605704,2672.162122894719
0.5010038610038611,0.21581500049273963,2367.572039379338,1.812174362914713,2746.1498603243526,4.702050852495566,110.86564297619043,0.8571165386993403,5236.856821103269,2.9039606512205607,-937.6621438505827,3.5246416334922475,2708.7247404533555
0.5317374517374518,0.23937055417426395,2444.7377560955883,1.8395297380948623,2842.667927502902,4.703194407545901,123.38047524134163,0.9082115241279403,5207.708316086093,2.8951841100647004,-855.250727713079,3.5513171966925556,2744.3995768362947
0.5624710424710425,0.2636477897379932,2515.3432824425963,1.867792899312517,2931.9507513893623,4.704464866945371,136.82650313118938,0.9590085366091402,5175.846385181219,2.8872271477155125,-770.0273344464949,3.5783374895145412,2779.214253383776
0.5932046332046332,0.2885847837203784,2579.846013415712,1.8968951475417426,3014.420907261898,4.705871501754111,151.23543057835195,1.009480123874841,5141.077627265127,2.880118054366159,-681.8244078198331,3.605694223151958,2813.193149182829
0.623938223938224,0.31412405466139404,2638.693172454443,1.9267718877925832,3090.491342013862,4.707423880630676,166.63644292479148,1.0595968643450357,5103.19286401321,2.873886836215762,-590.4589944478939,3.633379333849599,2846.3582341145666
0.6546718146718147,0.3402124292975786,2692.315837662287,1.9573625005976054,3160.5593950879265,4.709131845664262,183.05631061506574,1.109327213049784,5061.967424173927,2.8685653630523484,-495.7334957673738,3.661384962655378,2878.729647692002
0.6854054054054055,0.36680086047562205,2741.1248510064797,1.9886101651560375,3225.0027005252196,4.711005489293543,200.51950605900493,1.1586373525786475,5017.161970319234,2.86418750721177,-397.4367958664079,3.6897034398559745,2910.326110343827
0.7161389961389962,0.39384421330639635,2785.5082400377687,2.0204616506413964,3284.1766001262586,4.713055132425375,219.04833017269266,1.207491055178542,4968.524051955501,2.8607892690939725,-295.3460057002085,3.7183272727759373,2941.1652228999883
0.746872586872587,0.42130103263291513,2825.8298230004766,2.0528670887325435,3338.4127392104565,4.715291303829498,238.66304636507994,1.255849564090739,4915.790606128532,2.858408881995278,-189.22907897361438,3.7472491360729485,2971.2636919315846
