K,A0_fd_MHz_mm,S0_fd_MHz_mm,A0_vg_m_s,S0_vg_m_s
2.5294208494208497,2.188989121127612,2.7886450510372778,3124.740651090906,1986.0692712894233
2.5601544401544403,2.219547847447322,2.808156112050688,3122.696613855005,2002.8128072856343
2.590888030888031,2.2500865900217564,2.8278313084056705,3120.6560255220393,2019.6029806694132
2.621621621621622,2.2806053909828385,2.8476708794291445,3118.6205194495415,2036.3979341521044
2.6523552123552125,2.311104307636178,2.8676746793197485,3116.591571048877,2053.1605461049767
2.683088803088803,2.3415834109810234,2.887842221097035,3114.570510363963,2069.8579674886714
2.7138223938223938,2.3720427843461094,2.9081727162481,3112.558533671734,2086.46120354865
2.744555984555985,2.402482522136573,2.9286651104923913,3110.556714269216,2102.9447360923514
2.7752895752895754,2.432902728680863,2.949318116037961,3108.566012355179,2119.286182241456
2.806023166023166,2.463303517170991,2.970130240669556,3106.587284155583,2135.4659862261324
2.836756756756757,2.4936850086879914,2.9910998139746323,3104.6212903778505,2151.4671409191214
2.8674903474903477,2.52404733130758,3.0122250109830917,3102.6687040048273,2167.2749362265167
2.8982239382239383,2.5543906192781125,3.033503873470407,3100.7301174718013,2182.8767316314334
2.928957528957529,2.584715012266665,3.054934329147036,3098.8060493019584,2198.261750540143
2.95969111969112,2.615020654666818,3.076514208937807,3096.89695027587,2213.420894270879
2.9904247104247106,2.645307694965441,3.0982412625319022,3095.003209064598,2228.346573817689
3.021158301158301,2.6755762851607012,3.1201131723706093,3093.1251574936323,2243.0325575283496
3.0518918918918923,2.705826580231841,3.1421275662170247,3091.263075321098,2257.4738332065754
3.082625482625483,2.7360587376506635,3.1642820284457485,3089.4171947222203,2271.6664833236136
3.1133590733590735,2.7662729169390623,3.1865741101710334,3087.587704534846,2285.6075719141227
3.144092664092664,2.7964692792635684,3.209001338323519,3085.7747538562107,2299.2950421434944
3.174826254826255,2.8266479870632537,3.2315612237742344,3083.978455696022,2312.7276234902674
3.2055598455598457,2.8568092037157524,3.254251268595288,3082.1988902286685,2325.9047476316046
3.2362934362934364,2.8869530932287994,3.2770689725381255,3080.4361077561916,2338.826472212939
3.2670270270270274,2.917079819964218,3.3000118388027246,3078.6901315135765,2351.4934117471275
3.297760617760618,2.9471895483843484,3.323077379163848,3076.9609601451375,2363.9066750111815
3.3284942084942086,2.9772824428244915,3.3462631185153757,3075.248570181022,2376.0678082674567
3.3592277992277992,3.007358667287784,3.36956659888564,3073.5529181561433,2387.9787438451312
3.3899613899613903,3.037418385259109,3.3929853829757217,3071.873942606733,2399.6417535633955
3.420694980694981,3.0674617595390212,3.416517057263484,3070.2115659662813,116732.46040292474
3.4514285714285715,3.0974889520947695,5.67692735696085,3068.5656962515786,232440.22321184014
3.4821621621621626,3.1275001239272044,7.964352170166668,3066.936228645034,217417.1404352634
3.512895752895753,3.157495434952751,9.930826668171493,3065.3230469519913,101298.64242721535
3.543629343629344,3.187475043898841,9.946322057108524,3063.72602492859,1596.4883224446094
3.5743629343629344,3.217439108211863,9.962062938511574,3062.1450275214447,1621.7474526282167
3.6050965250965255,3.247387783976844,9.978052537777536,3060.5799120008887,1647.3403015704243
